beneficiary_id,name,age_group,age_months,gender,region,meals_per_day,food_diversity_score,protein_intake_g,calorie_intake_kcal,attendance_rate,days_since_last_check,risk_score,risk_category,last_updated
BEN00001,Muhammad Khan,6-12 years,92,Male,Rajasthan,2,6,56.7,1921.0,0.93,21,35.1,Medium,2025-12-05 16:06:13
BEN00002,Aarav Joshi,6-12 years,120,Male,Andhra Pradesh,3,3,19.1,1271.0,0.38,2,78.5,High,2025-12-30 16:06:13
BEN00003,Navya Nair,0-2 years,24,Female,Jharkhand,3,4,40.8,1669.0,0.92,43,31.9,Medium,2025-12-21 16:06:13
BEN00004,Ved Iyer,6-12 years,77,Male,Andhra Pradesh,2,5,54.4,2158.0,0.97,13,37.9,Medium,2025-12-19 16:06:13
BEN00005,Reyansh Iyer,6-12 years,124,Male,Kerala,3,1,10.3,1054.0,0.46,7,99.1,High,2026-01-03 16:06:13
BEN00006,Angel Nair,6-12 years,99,Female,Rajasthan,3,4,36.6,1718.0,0.83,34,48.6,Medium,2025-12-23 16:06:13
BEN00007,Ananya Kumar,3-5 years,50,Female,Jharkhand,3,6,54.3,1846.0,0.88,14,17.4,Low,2025-12-16 16:06:13
BEN00008,Ayaan Desai,3-5 years,39,Male,Madhya Pradesh,2,3,14.1,1366.0,0.54,21,75.6,High,2025-12-07 16:06:13
BEN00009,Myra Rao,3-5 years,47,Female,Telangana,4,7,55.2,2127.0,0.83,32,11.4,Low,2025-12-10 16:06:13
BEN00010,Navya Sharma,0-2 years,7,Female,Gujarat,3,5,43.4,2160.0,0.83,31,20.3,Low,2025-12-11 16:06:13
BEN00011,Riya Desai,3-5 years,47,Female,Rajasthan,3,4,59.9,1687.0,0.99,27,30.0,Medium,2026-01-02 16:06:13
BEN00012,Aaradhya Patel,0-2 years,23,Female,Chhattisgarh,3,7,59.6,1779.0,0.95,15,14.8,Low,2026-01-03 16:06:13
BEN00013,Arnav Mehta,0-2 years,19,Male,West Bengal,2,3,17.0,858.0,0.68,39,91.0,High,2026-01-03 16:06:13
BEN00014,Avni Gupta,3-5 years,51,Female,Punjab,3,5,59.9,2176.0,0.89,31,26.1,Low,2025-12-08 16:06:13
BEN00015,Ishaan Sharma,6-12 years,74,Male,Jammu and Kashmir,3,7,56.3,2155.0,0.95,39,20.1,Low,2025-12-06 16:06:13
BEN00016,Reyansh Shah,3-5 years,38,Male,Punjab,2,7,40.9,1728.0,0.94,7,23.0,Low,2025-12-28 16:06:13
BEN00017,Aadhya Mehta,0-2 years,18,Female,Jharkhand,4,6,57.3,1942.0,0.95,29,18.3,Low,2026-01-03 16:06:13
BEN00018,Syed Malhotra,6-12 years,135,Male,Chhattisgarh,3,2,29.1,1349.0,0.45,40,97.3,High,2025-12-30 16:06:13
BEN00019,Riya Pandey,13-18 years,190,Female,Uttar Pradesh,2,3,15.4,1091.0,0.45,41,100.0,High,2025-12-27 16:06:13
BEN00020,Ved Yadav,13-18 years,157,Male,Andhra Pradesh,3,4,38.4,1996.0,0.89,41,48.8,Medium,2025-12-12 16:06:13
BEN00021,Ved Verma,0-2 years,6,Male,West Bengal,3,7,44.9,1536.0,0.97,14,9.2,Low,2025-12-12 16:06:13
BEN00022,Ishita Desai,0-2 years,5,Female,Assam,1,1,26.6,963.0,0.69,38,93.4,High,2025-12-31 16:06:13
BEN00023,Zoya Yadav,6-12 years,111,Female,Jammu and Kashmir,3,2,16.5,1277.0,0.41,27,85.4,High,2025-12-09 16:06:13
BEN00024,Navya Joshi,3-5 years,36,Female,Assam,2,1,23.2,968.0,0.68,38,100.0,High,2025-12-30 16:06:13
